/home/tiger/.local/lib/python3.7/site-packages/torch/jit/_recursive.py:222: UserWarning: 'lat_layers' was found in ScriptModule constants,  but it is a non-constant submodule. Consider removing it.
  " but it is a non-constant {}. Consider removing it.".format(name, hint))
/home/tiger/.local/lib/python3.7/site-packages/torch/jit/_recursive.py:222: UserWarning: 'pred_layers' was found in ScriptModule constants,  but it is a non-constant submodule. Consider removing it.
  " but it is a non-constant {}. Consider removing it.".format(name, hint))
/home/tiger/.local/lib/python3.7/site-packages/torch/jit/_recursive.py:222: UserWarning: 'downsample_layers' was found in ScriptModule constants,  but it is a non-constant submodule. Consider removing it.
  " but it is a non-constant {}. Consider removing it.".format(name, hint))

  0%|          | 0/957 [00:00<?, ?it/s]loading annotations into memory...
Done (t=0.36s)
creating index...
index created!
loading annotations into memory...
Done (t=0.06s)
creating index...
index created!
[0, 1, 2, 3] [64, 128, 320, 512]
[0, 1, 2, 3, 4, 5]
Initializing weights firstly...
Resuming training, loading weights/15-5/mix_transformer_7_7088_interrupt.pth...
Begin training!


epoch:[  7] iteration:   7088 || Box: 2.654 | Class: 3.197 | Mask: 3.040 | Student: 0.836 | Total: 9.728 || ETA: 0:00:00 || timer: 7.749 || lr:5e-05:   0%|          | 0/957 [00:07<?, ?it/s]
epoch:[  7] iteration:   7110 || Box: 2.575 | Class: 2.460 | Mask: 2.967 | Student: 0.377 | Total: 8.380 || ETA: 1 day, 6:34:17 || timer: 0.436 || lr:5e-05:   2%|▏         | 23/957 [00:29<12:05,  1.29it/s]
epoch:[  7] iteration:   7111 || Box: 2.594 | Class: 2.455 | Mask: 2.980 | Student: 0.373 | Total: 8.402 || ETA: 1 day, 5:49:54 || timer: 0.432 || lr:5e-05:   2%|▏         | 23/957 [00:29<12:05,  1.29it/s]
epoch:[  7] iteration:   7111 || Box: 2.594 | Class: 2.455 | Mask: 2.980 | Student: 0.373 | Total: 8.402 || ETA: 1 day, 5:49:54 || timer: 0.432 || lr:5e-05:   3%|▎         | 24/957 [00:29<10:28,  1.49it/s]
epoch:[  7] iteration:   7112 || Box: 2.577 | Class: 2.423 | Mask: 2.917 | Student: 0.367 | Total: 8.284 || ETA: 1 day, 6:40:48 || timer: 1.601 || lr:5e-05:   3%|▎         | 24/957 [00:31<10:28,  1.49it/s]
epoch:[  7] iteration:   7112 || Box: 2.577 | Class: 2.423 | Mask: 2.917 | Student: 0.367 | Total: 8.284 || ETA: 1 day, 6:40:48 || timer: 1.601 || lr:5e-05:   3%|▎         | 25/957 [00:31<14:46,  1.05it/s]
epoch:[  7] iteration:   7113 || Box: 2.621 | Class: 2.458 | Mask: 2.903 | Student: 0.371 | Total: 8.353 || ETA: 1 day, 5:58:30 || timer: 0.417 || lr:5e-05:   3%|▎         | 25/957 [00:31<14:46,  1.05it/s]
epoch:[  7] iteration:   7113 || Box: 2.621 | Class: 2.458 | Mask: 2.903 | Student: 0.371 | Total: 8.353 || ETA: 1 day, 5:58:30 || timer: 0.417 || lr:5e-05:   3%|▎         | 26/957 [00:31<12:16,  1.26it/s]
epoch:[  7] iteration:   7114 || Box: 2.622 | Class: 2.471 | Mask: 2.915 | Student: 0.382 | Total: 8.391 || ETA: 1 day, 5:19:21 || timer: 0.415 || lr:5e-05:   3%|▎         | 26/957 [00:32<12:16,  1.26it/s]
epoch:[  7] iteration:   7114 || Box: 2.622 | Class: 2.471 | Mask: 2.915 | Student: 0.382 | Total: 8.391 || ETA: 1 day, 5:19:21 || timer: 0.415 || lr:5e-05:   3%|▎         | 27/957 [00:32<10:30,  1.47it/s]
epoch:[  7] iteration:   7115 || Box: 2.619 | Class: 2.442 | Mask: 2.926 | Student: 0.381 | Total: 8.368 || ETA: 1 day, 4:44:49 || timer: 0.440 || lr:5e-05:   3%|▎         | 27/957 [00:32<10:30,  1.47it/s]
epoch:[  7] iteration:   7115 || Box: 2.619 | Class: 2.442 | Mask: 2.926 | Student: 0.381 | Total: 8.368 || ETA: 1 day, 4:44:49 || timer: 0.440 || lr:5e-05:   3%|▎         | 28/957 [00:32<09:23,  1.65it/s]
epoch:[  7] iteration:   7116 || Box: 2.655 | Class: 2.469 | Mask: 2.903 | Student: 0.380 | Total: 8.408 || ETA: 1 day, 4:10:46 || timer: 0.410 || lr:5e-05:   3%|▎         | 28/957 [00:32<09:23,  1.65it/s]
epoch:[  7] iteration:   7116 || Box: 2.655 | Class: 2.469 | Mask: 2.903 | Student: 0.380 | Total: 8.408 || ETA: 1 day, 4:10:46 || timer: 0.410 || lr:5e-05:   3%|▎         | 29/957 [00:32<08:28,  1.83it/s]
epoch:[  7] iteration:   7117 || Box: 2.650 | Class: 2.467 | Mask: 2.889 | Student: 0.373 | Total: 8.378 || ETA: 1 day, 6:31:27 || timer: 3.067 || lr:5e-05:   3%|▎         | 29/957 [00:35<08:28,  1.83it/s]
epoch:[  7] iteration:   7117 || Box: 2.650 | Class: 2.467 | Mask: 2.889 | Student: 0.373 | Total: 8.378 || ETA: 1 day, 6:31:27 || timer: 3.067 || lr:5e-05:   3%|▎         | 30/957 [00:35<20:08,  1.30s/it]
epoch:[  7] iteration:   7118 || Box: 2.653 | Class: 2.483 | Mask: 2.947 | Student: 0.366 | Total: 8.449 || ETA: 1 day, 5:55:45 || timer: 0.405 || lr:5e-05:   3%|▎         | 30/957 [00:36<20:08,  1.30s/it]
epoch:[  7] iteration:   7118 || Box: 2.653 | Class: 2.483 | Mask: 2.947 | Student: 0.366 | Total: 8.449 || ETA: 1 day, 5:55:45 || timer: 0.405 || lr:5e-05:   3%|▎         | 31/957 [00:36<15:57,  1.03s/it]
epoch:[  7] iteration:   7119 || Box: 2.663 | Class: 2.494 | Mask: 2.962 | Student: 0.371 | Total: 8.491 || ETA: 1 day, 5:24:59 || timer: 0.448 || lr:5e-05:   3%|▎         | 31/957 [00:36<15:57,  1.03s/it]
epoch:[  7] iteration:   7119 || Box: 2.663 | Class: 2.494 | Mask: 2.962 | Student: 0.371 | Total: 8.491 || ETA: 1 day, 5:24:59 || timer: 0.448 || lr:5e-05:   3%|▎         | 32/957 [00:36<13:13,  1.17it/s]
epoch:[  7] iteration:   7120 || Box: 2.697 | Class: 2.513 | Mask: 2.982 | Student: 0.371 | Total: 8.563 || ETA: 1 day, 4:57:04 || timer: 0.464 || lr:5e-05:   3%|▎         | 32/957 [00:37<13:13,  1.17it/s]
epoch:[  7] iteration:   7120 || Box: 2.697 | Class: 2.513 | Mask: 2.982 | Student: 0.371 | Total: 8.563 || ETA: 1 day, 4:57:04 || timer: 0.464 || lr:5e-05:   3%|▎         | 33/957 [00:37<11:23,  1.35it/s]
epoch:[  7] iteration:   7121 || Box: 2.682 | Class: 2.498 | Mask: 2.969 | Student: 0.371 | Total: 8.520 || ETA: 1 day, 4:32:46 || timer: 0.498 || lr:5e-05:   3%|▎         | 33/957 [00:37<11:23,  1.35it/s]
epoch:[  7] iteration:   7121 || Box: 2.682 | Class: 2.498 | Mask: 2.969 | Student: 0.371 | Total: 8.520 || ETA: 1 day, 4:32:46 || timer: 0.498 || lr:5e-05:   4%|▎         | 34/957 [00:37<10:15,  1.50it/s]
epoch:[  7] iteration:   7122 || Box: 2.663 | Class: 2.481 | Mask: 2.947 | Student: 0.368 | Total: 8.459 || ETA: 1 day, 4:06:19 || timer: 0.433 || lr:5e-05:   4%|▎         | 34/957 [00:38<10:15,  1.50it/s]
